months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
12.6,50,96.9803106075,0.705882536639,0.1,2500,900.380380897,32.3267702025,3,3.6393084958
12.7,50,93.8182218409,0.66962197473,0.1,2500,903.613057917,31.2727406136,3,3.56872024214
12.8,50,90.757909977,0.635624482758,0.1,2500,906.740331978,30.252636659,3,3.50175804467
12.9,50,87.7962087594,0.603721076672,0.1,2500,909.765595644,29.2654029198,3,3.43819559639
13,50,84.9300405751,0.573757371905,0.1,2500,912.692135936,28.310013525,3,3.37782348872
13.1,50,82.1564149597,0.545592166654,0.1,2500,915.523137289,27.3854716532,3,3.32044775153
13.2,50,79.4724270111,0.519096176427,0.1,2500,918.261684454,26.4908090037,3,3.26588853487
13.3,50,76.8752557284,0.494150902334,0.1,2500,920.910765354,25.6250852428,3,3.21397891722
13.4,50,74.3621622943,0.470647617787,0.1,2500,923.473273879,24.7873874314,3,3.16456382699
13.5,50,71.9304883129,0.448486460152,0.1,2500,925.952012622,23.9768294376,3,3.11749906521
13.6,50,69.5776540152,0.427575615553,0.1,2500,928.349695566,23.1925513384,3,3.0726504192
13.7,50,67.3011564429,0.407830586435,0.1,2500,930.668950699,22.4337188143,3,3.02989285764
13.8,50,65.0985676201,0.389173532748,0.1,2500,932.912322581,21.69952254,3,2.989109799
13.9,50,62.9675327194,0.371532678709,0.1,2500,935.082274835,20.9891775731,3,2.95019244572
14,50,60.90576823,0.354841778022,0.1,2500,937.181192592,20.3019227433,3,2.91303917785
14.1,50,58.9110601334,0.33903963129,0.1,2500,939.211384867,19.6370200445,3,2.87755500005
14.2,50,56.9812620921,0.324069650067,0.1,2500,941.175086871,18.9937540307,3,2.84365103692
14.3,50,55.114293654,0.309879462625,0.1,2500,943.074462274,18.371431218,3,2.81124407191
14.4,50,53.3081384785,0.296420557104,0.1,2500,944.911605396,17.7693794928,3,2.78025612565
14.5,50,51.5608425849,0.283647958144,0.1,2500,946.688543345,17.1869475283,3,2.75061406994
14.6,50,49.8705126279,0.271519933603,0.1,2500,948.407238098,16.6235042093,3,2.72224927413
14.7,50,48.2353142003,0.259997728277,0.1,2500,950.069588519,16.0784380668,3,2.69509728077
14.8,50,46.6534701665,0.249045321916,0.1,2500,951.677432326,15.5511567222,3,2.66909750794
14.9,50,45.1232590265,0.238629209121,0.1,2500,953.232547998,15.0410863422,3,2.64419297575
15,50,43.6430133132,0.228718198936,0.1,2500,954.736656632,14.5476711044,3,2.62033005483
15.1,50,42.2111180226,0.219283232228,0.1,2500,956.191423742,14.0703726742,3,2.59745823494
15.2,50,40.8260090784,0.210297215115,0.1,2500,957.59846101,13.6086696928,3,2.57552991172
15.3,50,39.4861718307,0.201734866904,0.1,2500,958.959327979,13.1620572769,3,2.55450019021
15.4,50,38.1901395897,0.193572581146,0.1,2500,960.275533707,12.7300465299,3,2.53432670352
15.5,50,36.9364921948,0.18578829858,0.1,2500,961.54853836,12.3121640649,3,2.5149694454
15.6,50,35.7238546181,0.17836139084,0.1,2500,962.779754766,11.9079515394,3,2.49639061554
15.7,50,34.5508956033,0.171272553926,0.1,2500,963.97054992,11.5169652011,3,2.47855447646
15.8,50,33.4163263386,0.164503710556,0.1,2500,965.12224644,11.1387754462,3,2.46142722107
15.9,50,32.318899165,0.158037920553,0.1,2500,966.236123985,10.7729663883,3,2.44497685001
16,50,31.2574063182,0.15185929858,0.1,2500,967.313420624,10.4191354394,3,2.42917305796
16.1,50,30.2306787041,0.145952938531,0.1,2500,968.355334168,10.0768929014,3,2.4139871281
16.2,50,29.2375847079,0.140304844002,0.1,2500,969.363023458,9.74586156929,3,2.39939183425
16.3,50,28.2770290353,0.134901864299,0.1,2500,970.337609615,9.42567634511,3,2.38536134985
16.4,50,27.3479515873,0.129731635497,0.1,2500,971.280177249,9.11598386242,3,2.37187116342
